STATION,NAME,DATE,PRCP,SNOW,SNWD
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",1/1/2010,0,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",1/2/2010,0,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",1/3/2010,0,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",1/4/2010,0,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",1/5/2010,0,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",1/6/2010,0,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",1/7/2010,0,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",1/8/2010,0,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",1/9/2010,0,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",1/10/2010,0,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",1/11/2010,0,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",1/12/2010,0,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",1/13/2010,0.11,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",1/14/2010,0,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",1/15/2010,0,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",1/16/2010,0,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",1/17/2010,0.36,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",1/18/2010,1.14,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",1/19/2010,0.81,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",1/20/2010,1.16,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",1/21/2010,0.66,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",1/22/2010,0.77,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",1/23/2010,0.01,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",1/24/2010,0,,
